ESC_ZA3720AA_AS	2017
ESC_ZA3763AA_AS	2017
ESC_ZA3769AA_AS	2017
ESC_ZA3778AA_AS	2016
ESC_ZA3780AA_AS	2016
ESC_ZA3788AA_AS	2016
ESC_ZA3820AA_AS	2016
ESC_ZA3863AA_AS	2016
ESC_ZA3865AA_AS	2016
ESC_ZA3931AA_AS	2017
ESC_ZA3933AA_AS	2017
ESC_ZA3966AA_AS	2018
ESC_ZA3977AA_AS	2018
ESC_ZA3984AA_AS	2018
ESC_ZA3991AA_AS	2018
ESC_ZA4016AA_AS	2016
ESC_ZA4044AA_AS	2016
ESC_ZA4072AA_AS	2017
ESC_ZA4127AA_AS	2016
ESC_ZA4159AA_AS	2016
ESC_ZA4178AA_AS	2017
ESC_ZA4188AA_AS	2017
ESC_ZA4191AA_AS	2017
ESC_ZA4197AA_AS	2017
ESC_ZA4265AA_AS	2017
ESC_ZA4306AA_AS	2017
ESC_ZA9022AA_AS	2004-3
ESC_ZA6304AA_AS	2017-11
ESC_ZA6129AA_AS	2016-9
ESC_ZA6121AA_AS	2016-9
ESC_ZA6048AA_AS	2016-7
ESC_ZA6042AA_AS	2016-7
ESC_ZA6023AA_AS	2016-4
ESC_ZA6019AA_AS	2016-4
ESC_ZA6018AA_AS	2016-4
ESC_ZA6008AA_AS	2016-4
ESC_ZA6003AA_AS	2016-4
ESC_ZA5999AA_AS	2016-7
ESC_ZA5989AA_AS	2016-7
ESC_ZA5976AA_AS	2016-7
ESC_ZA5946AA_AS	2016-7
ESC_ZA5886AA_AS	2016-6
ESC_ZA5848AA_AS	2015-11
ESC_ZA5845AA_AS	2015-11
ESC_ZA5819AA_AS	2015-11
ESC_ZA5809AA_AS	2015-11
ESC_ZA5794AA_AS	2015-11
ESC_ZA5717AA_AS	2015-10
ESC_ZA5654AA_AS	2015-9
ESC_ZA5592AA_AS	2015-8
ESC_ZA5375AA_AS	2016-7
ESC_ZA5349AA_AS	2015-10
ESC_ZA5240AA_AS	2016-5
ESC_ZA5204AA_AS	2016-5
ESC_ZA5136AA_AS	2016-4
ESC_ZA5121AA_AS	2016-4
ESC_ZA5097AA_AS	2016-4
ESC_ZA5093AA_AS	2016-4
ESC_ZA5026AA_AS	2016-3
ESC_ZA5008AA_AS	2016-3
ESC_ZA5005AA_AS	2016-3
ESC_ZA4993AA_AS	2016-2
ESC_ZA4940AA_AS	2016-1
ESC_ZA4884AA_AS	2016-2
ESC_ZA4862AA_AS	2016-2
ESC_ZA4780AA_AS	2016-8
ESC_ZA4747AA_AS	2016-5
ESC_MB7376AA_AS	2015-11
ESC_ZA4641AA_AS	2015-11
ESC_ZA4595AA_AS	2015-11
ESC_ZA4588AA_AS	2015-11
ESC_ZA4575AA_AS	2015-11
ESC_BB8506AA_AS	2017
ESC_ZA9284AA_AS	2018
ESC_AB1918AA_AS	2019
ESC_AB9260AA_AS	2016
ESC_AB9307AA_AS	2017
ESC_AB9360AA_AS	2017
ESC_BB0163AA_AS	2017
ESC_BB0167AA_AS	2017
ESC_BB2479AA_AS	2019-06-16
ESC_CB3076AA_AS	2017
ESC_CB4094AA_AS	2019
ESC_CB4464AA_AS	2017
ESC_CB4638AA_AS	2000
ESC_CB4630AA_AS	2000
ESC_CB7708AA_AS	2018
ESC_CB7680AA_AS	2018
ESC_DB0414AA_AS	2018
ESC_DB2295AA_AS	2016
ESC_DB2226AA_AS	2018
ESC_DB2083AA_AS	2018
ESC_EB1060AA_AS	2017
ESC_EB1058AA_AS	2017
ESC_FB1413AA_AS	2018-11-8
ESC_FB2022AA_AS	2019
ESC_FB4766AA_AS	2019-09-21
ESC_FB4648AA_AS	2019-09-21
ESC_FB4746AA_AS	2019-09-21
ESC_FB4540AA_AS	2019-09-21
ESC_FB5265AA_AS	2019-7
ESC_FB5728AA_AS	2012
ESC_FB6693AA_AS	2012
ESC_FB6675AA_AS	2012
ESC_FB7893AA_AS	2012
ESC_FB7948AA_AS	2018-8
ESC_FB8160AA_AS	2017-8
ESC_GB0952AA_AS	2018
ESC_GB0949AA_AS	2018
ESC_GB0944AA_AS	2018
ESC_GB1407AA_AS	2015
ESC_GB3688AA_AS	2019-10
ESC_GB3547AA_AS	2019-2
ESC_GB3462AA_AS	2016
ESC_GB3395AA_AS	2016
ESC_GB3385AA_AS	2016
ESC_GB3372AA_AS	2017
ESC_GB4208AA_AS	2019-3
ESC_GB8965AA_AS	2015-9
ESC_GB6969AA_AS	2017-11
ESC_GB5661AA_AS	2012-10
ESC_GB5660AA_AS	2012-10
ESC_GB5653AA_AS	2012-10
ESC_HB0007AA_AS	2002
ESC_HB0006AA_AS	2002
ESC_HB5750AA_AS	2019-11
ESC_HB6970AA_AS	2019
ESC_HB7797AA_AS	2019-12
ESC_HB7880AA_AS	2019-12
ESC_HB8472AA_AS	2011
ESC_HB8464AA_AS	2011
ESC_HB8046AA_AS	2011
ESC_HB9109AA_AS	2020-01-02
ESC_HB9311AA_AS	2016-7
ESC_IB0093AA_AS	2015
ESC_IB8004AA_AS	2016
ESC_LB2181AA_AS	2019-1
ESC_IB6173AA_AS	2020-02-14
ESC_IB6047AA_AS	2020-02-14
ESC_IB6961AA_AS	2020-02-14
ESC_IB6959AA_AS	2020-02-14
ESC_IB6958AA_AS	2020-02-14
ESC_LB5207AA_AS	2020-02-14
ESC_IB6922AA_AS	2020-02-14
ESC_IB9377AA_AS	2019-11
ESC_JB1091AA_AS	2008
ESC_JB1090AA_AS	2007
ESC_JB4678AA_AS	2019-10
ESC_JB4785AA_AS	2018
ESC_JB5382AA_AS	2020-03-09
ESC_JB7032AA_AS	2020-03-16
ESC_JB7874AA_AS	2016
ESC_JB7885AA_AS	2016
ESC_JB8271AA_AS	2019-8
ESC_JB9350AA_AS	2020-3
ESC_JB9592AA_AS	2012
ESC_JB9534AA_AS	2012
ESC_KB0317AA_AS	1990
ESC_KB0274AA_AS	1990
ESC_KB0272AA_AS	1990
ESC_KB3971AA_AS	1987
ESC_KB4380AA_AS	1993
